type,law_document_id,detail
metadata_or_hash_conflict,f15bf996641fa2a8e2e295637c4e40b851ad1247d7f2de95e191cc1e8511cb90,document_version_id=83760b15b87392828b7bab87332546543a36c771ef7a0875e16e6e195225d727
metadata_or_hash_conflict,30e6a29dcee0cd12b3e991c0f5bb3bba1e13dcc7fca88ce58bb224154a9fd0f3,document_version_id=6a01903bc827710bece169cd3dc6a16e5fcb20920a625676f26ac7285bafe5f2
metadata_or_hash_conflict,c90bb18782f07175b3f1ef78b4f66470e73ddd7a27a2973ce6e058edd1135fc1,document_version_id=b548543a944537cabeba17ff143eead24af4ad43b568872a0bf35463fabb0b3e
metadata_or_hash_conflict,e74fab9e869c0e714caf17d37b8128a864e520adb26b254bc5ec3551e9ca7165,document_version_id=9a99a17c75ec6fc3cd832b85d8fd789a30e90013bcde7656ff7c661a66b6f011
metadata_or_hash_conflict,887189b4318dacf875149c100ce7a676050f6f61475830f227a043ec9373855e,document_version_id=bbd34ff7c28369736b7f997894da7179b6f14418a441c5122c99adf7e76a9e7b
metadata_or_hash_conflict,0a862b7c93239dfbf595bd5e5cd0b818ac1f99489d304f5812be25f750bd183f,document_version_id=8bf6167c7d535d0b3de234681463822794cc098e8509fe3d2ccbf3cef95018b4
metadata_or_hash_conflict,0e6e3c8c454e814afaaa6062d26ad7f95050b195de6de191a46ca1d2c3dac988,document_version_id=6b2c8e2615d8552b575b3fbf1d7acfe1c2323c7fef7932caac788e76df0f0cee
metadata_or_hash_conflict,f61b2b833aed92812f651b6a26aea667bb0b754041f373362f92a9bd8dd02f60,document_version_id=e4a297346575e3c0c4f2f51e4214191816a8369caa57f07ff9b293ce1979387d
metadata_or_hash_conflict,267f50a1ab78fa7269e860b146a4880af7c7a7577fcb0949e540d1bc2ab81700,document_version_id=82a3c0378308355efc139c5599d6dea720c7aac711dc3c23e827e1f0fcde95e0
metadata_or_hash_conflict,61c899ec3fc2bdfde17e8c3863eeb4af3ac4c75b555a78d6ede25de59cae8181,document_version_id=af73e81ac99f67a0f86f4f302eee31ff396820e9320d401a0ebe7e1960d7692c
